Identifier  Period  Choice         Wage  Experience_A  Experience_B  Years_Schooling  Lagged_Activity
                                                                                                     
         0       0       3            .             0             0               11                1
         0       1       3            .             0             0               12                1
         0       2       3            .             0             0               13                1
         0       3       3            .             0             0               14                1
         0       4       3            .             0             0               15                1
         0       5       4            .             0             0               16                1
         0       6       1   14062.6700             0             0               16                0
         0       7       1   15921.1700             1             0               16                2
         0       8       1   18602.7300             2             0               16                2
         0       9       1   19693.9500             3             0               16                2
         0      10       1   20611.0000             4             0               16                2
         1       0       3            .             0             0               10                1
         1       1       3            .             0             0               11                1
         1       2       2   18795.2900             0             0               12                1
         2       0       3            .             0             0               10                1
         2       1       3            .             0             0               11                1
         2       2       2    9852.3250             0             0               12                1
         2       3       2    7955.5960             0             1               12                3
         2       4       2    7966.2400             0             2               12                3
         2       5       2    8119.7740             0             3               12                3
         2       6       3            .             0             4               12                3
         2       7       1   15159.9600             0             4               13                1
         2       8       1   16867.0900             1             4               13                2
         3       0       3            .             0             0               10                1
         3       1       3            .             0             0               11                1
         3       2       3            .             0             0               12                1
         3       3       3            .             0             0               13                1
         3       4       3            .             0             0               14                1
         3       5       3            .             0             0               15                1
         3       6       1   14091.9600             0             0               16                1
         3       7       1   16857.3400             1             0               16                2
         4       0       3            .             0             0               10                1
         4       1       4            .             0             0               11                1
         4       2       4            .             0             0               11                0
         4       3       4            .             0             0               11                0
         4       4       2   14947.7200             0             0               11                0
         4       5       4            .             0             1               11                3
         5       0       3            .             0             0               10                1
         5       1       3            .             0             0               11                1
         5       2       3            .             0             0               12                1
         5       3       3            .             0             0               13                1
         5       4       1    7268.9530             0             0               14                1
         6       0       4            .             0             0                9                0
         6       1       3            .             0             0                9                0
         6       2       4            .             0             0               10                1
         6       3       2   11313.7500             0             0               10                0
         6       4       2   16451.9000             0             1               10                3
         6       5       2            .             0             2               10                3
         6       6       2            .             0             3               10                3
         6       7       2            .             0             4               10                3
         6       8       2   32846.5700             0             5               10                3
         6       9       2   35591.4900             0             6               10                3
         7       0       3            .             0             0               10                1
         7       1       3            .             0             0               11                1
         7       2       4            .             0             0               12                1
         7       3       2   13533.7900             0             0               12                0
         7       4       2   13912.4100             0             1               12                3
         7       5       2   15627.5900             0             2               12                3
         7       6       3            .             0             3               12                3
         7       7       3            .             0             3               13                1
         7       8       3            .             0             3               14                1
         7       9       1   39952.0700             0             3               15                1
         8       0       3            .             0             0                9                0
         8       1       3            .             0             0               10                1
         8       2       3            .             0             0               11                1
         8       3       4            .             0             0               12                1
         8       4       2   17887.2100             0             0               12                0
         8       5       2   20578.3100             0             1               12                3
         9       0       3            .             0             0                9                0
         9       1       3            .             0             0               10                1
         9       2       3            .             0             0               11                1
         9       3       2   26216.0000             0             0               12                1
         9       4       2   36540.6100             0             1               12                3
         9       5       2   21382.9300             0             2               12                3
         9       6       2   20417.9000             0             3               12                3
         9       7       2   25569.9100             0             4               12                3
         9       8       2   32489.1700             0             5               12                3
         9       9       1   56526.4800             0             6               12                3
         9      10       1   54842.4400             1             6               12                2
        10       0       3            .             0             0               10                1
        10       1       3            .             0             0               11                1
        10       2       4            .             0             0               12                1
        10       3       1   15537.7400             0             0               12                0
        10       4       4            .             1             0               12                2
        10       5       1   13072.6700             1             0               12                0
        10       6       1   14022.2500             2             0               12                2
        10       7       4            .             3             0               12                2
        10       8       3            .             3             0               12                0
        11       0       3            .             0             0               10                1
        11       1       3            .             0             0               11                1
        11       2       3            .             0             0               12                1
        11       3       4            .             0             0               13                1
        11       4       3            .             0             0               13                0
        11       5       2            .             0             0               14                1
        11       6       2            .             0             1               14                3
        11       7       2            .             0             2               14                3
        12       0       3            .             0             0               10                1
        12       1       3            .             0             0               11                1
        12       2       3            .             0             0               12                1
        12       3       3            .             0             0               13                1
        12       4       3            .             0             0               14                1
        12       5       4            .             0             0               15                1
        13       0       3            .             0             0               10                1
        13       1       3            .             0             0               11                1
        13       2       3            .             0             0               12                1
        13       3       3            .             0             0               13                1
        13       4       3            .             0             0               14                1
        13       5       3            .             0             0               15                1
        13       6       3            .             0             0               16                1
        13       7       3            .             0             0               17                1
        13       8       1   14609.1400             0             0               18                1
        13       9       1   19786.7300             1             0               18                2
        13      10       1   35318.4900             2             0               18                2
        14       0       3            .             0             0               10                1
        14       1       3            .             0             0               11                1
        14       2       3            .             0             0               12                1
        14       3       3            .             0             0               13                1
        14       4       3            .             0             0               14                1
        14       5       3            .             0             0               15                1
        14       6       3            .             0             0               16                1
        14       7       3            .             0             0               17                1
        14       8       3            .             0             0               18                1
        15       0       3            .             0             0               10                1
        15       1       3            .             0             0               11                1
        15       2       3            .             0             0               12                1
        15       3       3            .             0             0               13                1
        15       4       3            .             0             0               14                1
        15       5       3            .             0             0               15                1
